Date	Branch	Product	Maxtrade_Price	Mintrade_Price	Avg_Price
02/11/2015	Birur 	Old Rashi Idi	28599	25239	26919
02/11/2015	Birur 	New Rashi Idi	29869	28369	29119
05/11/2015	Birur 	Rashi Idi	28901	27069	28899
05/11/2015	Birur 	New Rashi Idi	28801	28719	28759
09/11/2015	Birur 	Old Rashi Idi	29339	27069	28369
09/11/2015	Birur 	New Rashi Idi	29569	27569	29099
16/11/2015	Birur 	Old Rashi Idi	29669	28019	29309
16/11/2015	Birur 	New Rashi Idi	29869	25569	29469
19/11/2015	Birur 	Old Rashi Idi	29539	29019	29339
19/11/2015	Birur 	New Rashi Idi	29539	27519	29199
19/11/2015	Birur 	Gorabalu	20019	18319	19509
23/11/2015	Birur 	Old Rashi Idi	29269	28201	29199
23/11/2015	Birur 	New Rashi Idi	29969	28099	29569
26/11/2015	Birur 	Old Rashi Idi	29129	28299	28309
26/11/2015	Birur 	New Rashi Idi	29569	28199	29129
30/11/2015	Birur 	Old Rashi Idi	28559	27800	28200
30/11/2015	Birur 	New Rashi Idi	29469	28269	28769
03/12/2015	Birur 	Old Rashi Idi	28399	27019	27219
03/12/2015	Birur 	New Rashi Idi	28429	25019	27519
07/12/2015	Birur 	Old Rashi Idi	28339	27809	28019
07/12/2015	Birur 	New Rashi Idi	28869	27399	28199
10/12/2015	Birur 	Old Rashi Idi	28189	27199	28069
10/12/2015	Birur 	New Rashi Idi	28369	27029	28129
14/12/2015	Birur 	Old Rashi Idi	28019	27429	27729
14/12/2015	Birur 	New Rashi Idi	27829	26559	27599
17/12/2015	Birur 	Old Rashi Idi	27299	25809	26889
17/12/2015	Birur 	New Rashi Idi	27569	27099	27259
21/12/2015	Birur 	Old Rashi Idi	27269	27009	27169
21/12/2015	Birur 	New Rashi Idi	27069	25569	26509
28/12/2015	Birur 	Old Rashi Idi	27839	27710	27789
28/12/2015	Birur 	New Rashi Idi	28569	25569	28169
31/12/2015	Birur 	Old Rashi Idi	26099	25009	25509
31/12/2015	Birur 	New Rashi Idi	28619	27009	28129
14/01/2016	Birur 	Rashi Idi	28869	26099	28259
18/01/2016	Birur 	Rashi Idi	29239	25099	28169
18/01/2016	Birur 	Chali	20569	19569	19569
21/01/2016	Birur 	Old Rashi Idi	29069	24069	28399
21/01/2016	Birur 	New Rashi Idi	28729	23569	28219
21/01/2016	Birur 	Chali	20869	20569	20659
25/01/2016	Birur 	Rashi Idi	28819	25099	28100
25/01/2016	Birur 	Gorabalu	18000	14700	16509
28/01/2016	Birur 	Rashi Idi	28529	22099	27859
28/01/2016	Birur 	Gorabalu	16899	12099	14569
01/02/2016	Birur 	Rashi Idi	28569	25099	28100
01/02/2016	Birur 	Gorabalu	16099	13599	16699
01/02/2016	Birur 	Chali	20000	19569	19759
04/02/2016	Birur 	Rashi Idi	28059	24069	27439
04/02/2016	Birur 	Gorabalu	18000	13069	16569
08/02/2016	Birur 	Rashi Idi	27500	23569	26700
08/02/2016	Birur 	Gorabalu	16569	14099	15259
08/02/2016	Birur 	Chali	20300	19569	19759
22/02/2016	Birur 	Rashi Idi	27829	24099	27029
22/02/2016	Birur 	Chali	21200	21000	21059
25/02/2016	Birur 	Rashi Idi	28029	24099	27039
25/02/2016	Birur 	Edi	21210	19100	20009
25/02/2016	Birur 	Chali	21500	21000	21059
29/02/2016	Birur 	Rashi Idi	27929	23009	27229
29/02/2016	Birur 	Chali	21501	21401	21459
03/03/2016	Birur 	Rashi Idi	28029	23599	27769
03/03/2016	Birur 	Chali	20200	19110	19359
03/03/2016	Birur 	Gorabalu	17009	16200	16509
10/03/2016	Birur 	Rashi Idi	27529	20009	27329
10/03/2016	Birur 	Chali	20169	18569	19869
10/03/2016	Birur 	Gorabalu	18069	16199	17209
14/03/2016	Birur 	Rashi Idi	27099	19099	26509
14/03/2016	Birur 	Chali	19369	19069	19269
17/03/2016	Birur 	Rashi Idi	26529	20099	25099
17/03/2016	Birur 	Gorabalu	15101	14011	14509
17/03/2016	Birur 	Chali	18569	18100	18159
24/03/2016	Birur 	Rashi Idi	26529	24099	25219
24/03/2016	Birur 	Chali	18569	18469	18489
11/04/2016	Birur 	Rashi Idi	28369	23569	27069
11/04/2016	Birur 	Chali	19300	19000	19000
18/04/2016	Birur 	Rashi Idi	26739	20000	26199
18/04/2016	Birur 	Chali	18909	18009	18569
18/04/2016	Birur 	Gorabalu	11000	9509	10109
18/04/2016	Birur 	Gorabalu	18519	13000	16509
21/04/2016	Birur 	Rashi Idi	26849	21009	26599
21/04/2016	Birur 	Chali	18889	18089	18729
25/04/2016	Birur 	Rashi Idi	26569	23599	25559
25/04/2016	Birur 	Chali	18009	17100	17509
25/04/2016	Birur 	Edi	18200	17100	17569
28/04/2016	Birur 	Rashi Idi	26519	23099	25709
05/05/2016	Birur 	Rashi Idi	26009	24069	25539
05/05/2016	Birur 	Chali	17200	16509	16809
12/05/2016	Birur 	Rashi Idi	25729	24000	25229
12/05/2016	Birur 	Chali	18000	17109	17529
16/05/2016	Birur 	Rashi Idi	25679	21000	25001
16/05/2016	Birur 	Chali	17801	17109	17329
19/05/2016	Birur 	Rashi Idi	25559	23001	24059
19/05/2016	Birur 	Chali	17701	17601	17659
26/05/2016	Birur 	Rashi Idi	25269	22001	24001
30/05/2016	Birur 	Rashi Idi	25239	22001	24601
30/05/2016	Birur 	Chali	17369	15069	16001
02/06/2016	Birur 	Rashi Idi	25029	23099	24001
02/06/2016	Birur 	Chali	17401	17269	17289
06/06/2016	Birur 	Rashi Idi	24009	21009	23209
09/06/2016	Birur 	Rashi Idi	22699	20009	22169
09/06/2016	Birur 	Edi	13699	11569	12109
09/06/2016	Birur 	Gorabalu	10569	10199	10309
09/06/2016	Birur 	Chali	16569	15869	16209
16/06/2016	Birur 	Rashi Idi	22819	20000	21519
16/06/2016	Birur 	Edi	14200	13110	13519
16/06/2016	Birur 	Gorabalu	13210	12701	13109
20/06/2016	Birur 	Rashi Idi	24069	20569	22201
20/06/2016	Birur 	Gorabalu	14100	13200	13509
20/06/2016	Birur 	Chali	16069	15501	15709
23/06/2016	Birur 	Rashi Idi	23569	21099	23000
23/06/2016	Birur 	Chali	15801	15001	15169
30/06/2016	Birur 	Rashi Idi	24059	21501	23519
30/06/2016	Birur 	Chali	17501	16710	17101
